0.00000000	1009.15064434	-183.19263711	406.17695397
0.13487099	1008.15121123	-196.74892912	394.75362564
0.26974198	1008.02232488	-208.95279254	381.83164841
0.40461298	1008.88499805	-219.45092649	367.52822980
0.53948397	1010.81752986	-227.89660872	352.04143557
0.67435496	1013.85548653	-233.95326704	335.65227210
0.80922595	1017.96395594	-237.37616588	318.72472806
0.94409694	1023.07133829	-238.01759191	301.69458667
1.07896794	1029.08176019	-235.80688300	285.03560599
1.21383893	1035.87030078	-230.75523588	269.25345625
1.34870992	1043.26015262	-223.00873227	254.84111097
1.48358091	1050.98421773	-212.95643221	242.11009161
1.61845190	1058.77028103	-201.02602904	231.20538239
1.75332290	1066.37946569	-187.60181854	222.16071621
1.88819389	1073.60892295	-173.02107986	214.90247393
2.02306488	1080.29986098	-157.55504514	209.29187467
2.15793587	1086.36122680	-141.40520700	205.15379273
2.29280686	1091.74310208	-124.73449889	202.29896568
2.42767786	1096.43135527	-107.67105760	200.52644108
2.56254885	1100.43629802	-90.31619562	199.62607627
2.69741984	1103.76734007	-72.75438694	199.37676476
2.83229083	1106.42577456	-55.04964513	199.54461815
2.96716182	1108.40585280	-37.24998915	199.88705113
3.10203282	1109.69475371	-19.38776846	200.16609556
3.23690381	1110.26516084	-1.48765926	200.29457505
3.37177480	1110.09153689	16.44405232	200.28814259
3.50664579	1109.16240633	34.39996927	200.16701575
3.64151678	1107.48035617	52.36842253	199.95505035
3.77638778	1105.06494662	70.32916897	199.74015612
3.91125877	1101.95948793	88.23492594	199.76358932
4.04612976	1098.20102571	106.00554343	200.28473277
4.18100075	1093.81160427	123.53224734	201.55027362
4.31587174	1088.80043895	140.67939024	203.79505070
4.45074274	1083.19828739	157.28701262	207.24330271
4.58561373	1077.04984297	173.16261668	212.11198710
4.72048472	1070.43094018	188.07237073	218.58257374
4.85535571	1063.45262927	201.73991426	226.79928175
4.99022670	1056.24600067	213.87847430	236.80287885
5.12509770	1048.95949347	224.23976968	248.50028870
5.25996869	1041.77788161	232.58803189	261.74160967
5.39483968	1034.91317705	238.70126632	276.31357628
5.52971067	1028.59432148	242.38378443	291.93162801
5.66458166	1023.00152007	243.54920611	308.21486492
5.79945266	1018.24851403	242.20779388	324.74085871
5.93432365	1014.41096977	238.42475346	341.10954898
6.06919464	1011.52841414	232.31934828	356.94709933
6.20406563	1009.58949361	224.06644361	371.92017950
6.33893662	1008.54337222	213.88988459	385.77576574
6.47380761	1008.34269596	202.02934236	398.32242323
6.60867861	1008.94410472	188.73412747	409.42003593
6.74354960	1010.29805407	174.26597705	418.98439825
6.87842059	1012.29720472	158.90857273	427.01745619
7.01329158	1014.78285725	142.91738367	433.58881719
7.14816257	1017.58224387	126.49286404	438.79948196
7.28303357	1020.51087994	109.77902926	442.78077371
7.41790456	1023.38315978	92.87159502	445.68425374
7.55277555	1026.03417579	75.81471344	447.67789567
7.68764654	1028.31493123	58.63490127	448.94103263
7.82251753	1030.08843770	41.35238421	449.66182829
7.95738853	1031.24569616	23.98645251	450.01362054
8.09225952	1031.77982159	6.57262344	450.05449444
8.22713051	1031.70740995	-10.83390589	449.79700686
8.36200150	1031.03332749	-28.17854826	449.24704222
8.49687249	1029.75222551	-45.41060345	448.40095133
8.63174349	1027.90473588	-62.48913174	447.15947464
8.76661448	1025.58633110	-79.41833052	445.31311384
8.90148547	1022.91852002	-96.20007919	442.65684897
9.03635646	1020.05149693	-112.81937717	438.99886993
9.17122745	1017.15689080	-129.23256407	434.16414554
9.30609845	1014.39212581	-145.34224482	428.00912989
9.44096944	1011.92648964	-160.99983382	420.41619201
9.57584043	1009.92581117	-176.00762239	411.30977798
