0.00000000	1065.22274565	198.45651726	224.57457413
0.13487099	1058.06176568	211.00094049	234.13872137
0.26974198	1050.77896956	221.82919338	245.42425616
0.40461298	1043.55232173	230.70206392	258.29711784
0.53948397	1036.58702464	237.39411403	272.55988189
0.67435496	1030.11137685	241.69822152	287.94800398
0.80922595	1024.32475206	243.49423041	304.10512241
0.94409694	1019.35326925	242.77551684	320.60890592
1.07896794	1015.28177370	239.59382592	337.05306514
1.21383893	1012.15857371	234.05483480	353.05654094
1.34870992	1009.98858630	226.31916273	368.27306898
1.48358091	1008.72386057	216.60142466	382.42798035
1.61845190	1008.31604406	205.13888191	395.31701055
1.75332290	1008.72077815	192.17843517	406.78721383
1.88819389	1009.89329833	177.97754382	416.73880946
2.02306488	1011.74534266	162.81638631	425.14950147
2.15793587	1014.12506199	146.96269097	432.07800840
2.29280686	1016.86291866	130.63073524	437.61771169
2.42767786	1019.77684145	113.97883025	441.89256670
2.56254885	1022.67974926	97.11363831	445.05049222
2.69741984	1025.40051876	80.09138687	447.25512614
2.83229083	1027.78715107	62.94016545	448.68359395
2.96716182	1029.69965574	45.68177249	449.52185167
3.10203282	1031.01571193	28.33454496	449.95546843
3.23690381	1031.70359960	10.92755370	450.07262146
3.37177480	1031.78191014	-6.48596261	449.88891615
3.50664579	1031.25842740	-23.85113198	449.41187812
3.64151678	1030.12900938	-41.11581118	448.64209091
3.77638778	1028.41487273	-58.23394362	447.51825286
3.91125877	1026.20392581	-75.19963922	445.84284971
4.04612976	1023.61050611	-92.01899734	443.40755906
4.18100075	1020.77763657	-108.68123742	440.01726835
4.31587174	1017.87503677	-125.15300035	435.49109896
4.45074274	1015.06183244	-141.35056367	429.67880980
4.58561373	1012.50572358	-157.13779358	422.45408524
4.72048472	1010.37346087	-172.32925155	413.73081400
4.85535571	1008.82739612	-186.68893180	403.46498993
4.99022670	1008.03191885	-199.94059839	391.66043311
5.12509770	1008.14124594	-211.75089443	378.37894880
5.25996869	1009.26571173	-221.76816369	363.75795909
5.39483968	1011.47293693	-229.64732856	348.01574432
5.52971067	1014.78479021	-235.06283573	331.45468514
5.66458166	1019.15040873	-237.80143423	314.45886327
5.79945266	1024.49365856	-237.73327731	297.47582130
5.93432365	1030.71150174	-234.80801508	280.98748330
6.06919464	1037.67029104	-229.05979952	265.50485724
6.20406563	1045.17103955	-220.69437725	251.49316711
6.33893662	1052.93482209	-210.13415038	239.20947877
6.47380761	1060.69775816	-197.79596285	228.77096360
6.60867861	1068.22930549	-184.05326110	220.18354169
6.74354960	1075.33659677	-169.22889085	213.35185989
6.87842059	1081.87678984	-153.57473546	208.12650122
7.01329158	1087.77155698	-137.28075825	204.32742786
7.14816257	1092.97997757	-120.50123071	201.76248778
7.28303357	1097.49610462	-103.35584546	200.22784984
7.41790456	1101.33206586	-85.94237082	199.51169978
7.55277555	1104.49510986	-68.33945238	199.38894626
7.68764654	1106.98476931	-50.60710504	199.62352664
7.82251753	1108.79353503	-32.78934911	199.97068139
7.95738853	1109.90595622	-14.91596250	200.21186081
8.09225952	1110.29219449	2.99252854	200.30487439
8.22713051	1109.93022467	20.93113652	200.26776045
8.36200150	1108.81205956	38.89149426	200.12145647
8.49687249	1106.94378583	56.86045740	199.89364592
8.63174349	1104.35157059	74.81340516	199.71332211
8.76661448	1101.07997398	92.69400945	199.83736166
8.90148547	1097.16229129	110.41496424	200.52197347
9.03635646	1092.61681650	127.86033942	202.01067076
9.17122745	1087.45398977	144.88871259	204.53529586
9.30609845	1081.71000779	161.33295726	208.31957253
9.44096944	1075.43551624	176.99065971	213.57319870
9.57584043	1068.71481718	191.61749754	220.46817851
