0.00000000	1.37456170
0.13487099	1.37587492
0.26974198	1.37725273
0.40461298	1.38043781
0.53948397	1.38685938
0.67435496	1.39892163
0.80922595	1.41066272
0.94409694	1.41742246
1.07896794	1.41836912
1.21383893	1.41331767
1.34870992	1.39880847
1.48358091	1.37737961
1.61845190	1.35173150
1.75332290	1.32380132
1.88819389	1.28858557
2.02306488	1.24728578
2.15793587	1.20443640
2.29280686	1.16097234
2.42767786	1.11792401
2.56254885	1.07619952
2.69741984	1.03665180
2.83229083	0.99979716
2.96716182	0.96580552
3.10203282	0.95121743
3.23690381	0.94705304
3.37177480	0.94438922
3.50664579	0.94309213
3.64151678	0.94788685
3.77638778	0.97396104
3.91125877	0.99945738
4.04612976	1.02488151
4.18100075	1.05039255
4.31587174	1.07234828
4.45074274	1.09286538
4.58561373	1.11254514
4.72048472	1.13045277
4.85535571	1.14678194
4.99022670	1.16149468
5.12509770	1.17068890
5.25996869	1.17433696
5.39483968	1.17220737
5.52971067	1.16215478
5.66458166	1.15037131
5.79945266	1.13717509
5.93432365	1.12252653
6.06919464	1.11376490
6.20406563	1.12918315
6.33893662	1.15805437
6.47380761	1.19672962
6.60867861	1.24125363
6.74354960	1.28805431
6.87842059	1.33426142
7.01329158	1.37791727
7.14816257	1.41813409
7.28303357	1.45466113
7.41790456	1.48768783
7.55277555	1.51744827
7.68764654	1.54433661
7.82251753	1.56891243
7.95738853	1.56665486
8.09225952	1.56261607
8.22713051	1.55964429
8.36200150	1.55766690
8.49687249	1.54597646
8.63174349	1.52195324
8.76661448	1.49874188
8.90148547	1.47601571
9.03635646	1.45363586
9.17122745	1.43250234
9.30609845	1.41285661
9.44096944	1.39522386
9.57584043	1.38045501
