 # Integral loads: N.components: 1
 #                 Ref.sys     : second_wing
 #                 Components  : second_wing
 #  t , Fx , Fy , Fz , Mx , My , Mz , ref_mat(9) , ref_off(3) 
  0.000000000000000E+000 -0.262221384315468E+006  0.831418658511133E+003  0.269896952713562E+007  0.355179707777309E+007 -0.465615572161545E+007  0.166420452901984E+006  0.271375452891817E+000 -0.797402044361223E+000 -0.538985475886228E+000  0.502026084805530E-001  0.570965245490526E+000 -0.819437847883347E+000  0.961163389684350E+000  0.195316840263418E+000  0.194977614715138E+000  0.106522000000000E+004  0.198460000000000E+003  0.224570000000000E+003
  0.134870990000000E+000 -0.442728384582666E+006 -0.185474024655394E+003  0.252532219631673E+007  0.343926366257086E+007 -0.402164948049765E+007  0.325912520371442E+006  0.285050473403940E+000 -0.711257550174649E+000 -0.642540990857195E+000  0.336672936840018E-002  0.671091041233265E+000 -0.741367304046929E+000  0.958506595045412E+000  0.209163839360460E+000  0.193689430683355E+000  0.105805902003000E+004  0.211004423230000E+003  0.234134147240000E+003
  0.269741980000000E+000 -0.471362219034125E+006 -0.187093878110956E+003  0.253863393804433E+007  0.353238804003167E+007 -0.401336414434938E+007  0.316894082171026E+006  0.289501956778827E+000 -0.609140809111115E+000 -0.738333320185867E+000 -0.461958649359684E-001  0.761574526110376E+000 -0.646428792089719E+000  0.956062005878305E+000  0.221250346565179E+000  0.192337528997178E+000  0.105077622391000E+004  0.221832676120000E+003  0.245419682030000E+003
  0.404612970000000E+000 -0.477635290518778E+006 -0.177954876712744E+003  0.254173892830010E+007  0.362363937169060E+007 -0.401705534133850E+007  0.311079066362227E+006  0.282281136241314E+000 -0.492154921290344E+000 -0.823468817607569E+000 -0.969619805024837E-001  0.839345012959658E+000 -0.534881597698769E+000  0.954419056001790E+000  0.230832152590246E+000  0.189210948074377E+000  0.104354957661582E+004  0.230705546002122E+003  0.258292542755543E+003
  0.539483960000000E+000 -0.478719843517316E+006 -0.118737392125879E+003  0.254276925116824E+007  0.397846701351513E+007 -0.402124550327095E+007  0.390216897308085E+006  0.262052390278199E+000 -0.361997108882214E+000 -0.894587412112646E+000 -0.147103861709204E+000  0.901165942876542E+000 -0.407750410508282E+000  0.953776178471512E+000  0.238449232668825E+000  0.182901516723964E+000  0.103658427950644E+004  0.237397596273818E+003  0.272555306702488E+003
  0.674354950000000E+000 -0.477835317946825E+006 -0.124162863300491E+003  0.253688157796710E+007  0.445915116220549E+007 -0.401200908070669E+007  0.555620476088635E+006  0.229497773389170E+000 -0.223140533382128E+000 -0.947385388514807E+000 -0.201687517912933E+000  0.941335426955147E+000 -0.270573019862091E+000  0.952183237159494E+000  0.253171713114065E+000  0.171029724174940E+000  0.103010863168014E+004  0.241701703940872E+003  0.287943428709049E+003
  0.809225940000000E+000 -0.473401532087249E+006 -0.279736061955203E+003  0.251220677020691E+007  0.456541341409970E+007 -0.397011139305802E+007  0.652885977804500E+006  0.188729272953550E+000 -0.830014137395647E-001 -0.978515215440035E+000 -0.256497256558439E+000  0.957666706444643E+000 -0.130704386863885E+000  0.947940092468094E+000  0.275654212165719E+000  0.159450106324448E+000  0.102432200683905E+004  0.243497713016835E+003  0.304100547082032E+003
  0.944096930000000E+000 -0.465949644780088E+006 -0.375431235519991E+003  0.247540385618774E+007  0.444460772642002E+007 -0.390861125552672E+007  0.658653063203504E+006  0.142381060569767E+000  0.563751046265166E-001 -0.988205181715507E+000 -0.304096591436114E+000  0.952583021375711E+000  0.105285546804280E-001  0.941941026109366E+000  0.299010760617525E+000  0.152773258023004E+000  0.101935052396861E+004  0.242778999633289E+003  0.320604330566328E+003
  0.107896792000000E+001 -0.456831400748506E+006 -0.369783908705631E+003  0.243343824733845E+007  0.435885667470899E+007 -0.383885499742406E+007  0.649840062746211E+006  0.924162099059552E-001  0.192359348333781E+000 -0.976963215917171E+000 -0.344024273543015E+000  0.926908352523792E+000  0.149960678962289E+000  0.934401703423008E+000  0.322240263049534E+000  0.151837641940159E+000  0.101527902865376E+004  0.239597309131812E+003  0.337048488571498E+003
  0.121383891000000E+001 -0.448342776238874E+006 -0.320740359178290E+003  0.239434329795015E+007  0.447480809664218E+007 -0.377265502790533E+007  0.706043774302933E+006  0.402779652278977E-001  0.322270765561917E+000 -0.945790272302076E+000 -0.376438654288567E+000  0.881707648263418E+000  0.284403872250725E+000  0.925565570380896E+000  0.344576808067417E+000  0.156828563302600E+000  0.101215582852314E+004  0.234058318361376E+003  0.353051964436847E+003
  0.134870990000000E+001 -0.440060157874414E+006 -0.361408274998142E+003  0.235640484291657E+007  0.451058760723464E+007 -0.370788213122290E+007  0.768286756775271E+006 -0.104552524020030E-001  0.441319375592601E+000 -0.897289193306020E+000 -0.407166506797328E+000  0.817699606746097E+000  0.406918651415415E+000  0.913294105663489E+000  0.369600543633035E+000  0.171141212764468E+000  0.100998584097179E+004  0.226322646617122E+003  0.368268492593543E+003
  0.148358089000000E+001 -0.432112619843114E+006 -0.438563552663781E+003  0.232436593232716E+007  0.429953862695363E+007 -0.365451659901899E+007  0.759176436269984E+006 -0.587372491155017E-001  0.547984378278108E+000 -0.834423787250518E+000 -0.430126129909124E+000  0.740405572366819E+000  0.516518248252239E+000  0.900855952933510E+000  0.389246335334474E+000  0.192213013328805E+000  0.100872111510755E+004  0.216604908841042E+003  0.382423404120970E+003
  0.161845188000000E+001 -0.426536006524792E+006 -0.426445046944198E+003  0.230613790398661E+007  0.411503388640876E+007 -0.362582171502361E+007  0.733846780693510E+006 -0.104978689900929E+000  0.640812198492487E+000 -0.760486160906239E+000 -0.446119424426085E+000  0.653102818216996E+000  0.611910261383773E+000  0.888795214780336E+000  0.403505185964498E+000  0.217316890929658E+000  0.100831329847048E+004  0.205142366349779E+003  0.395312434508687E+003
  0.175332287000000E+001 -0.424048870366498E+006 -0.363433041283693E+003  0.229906038137041E+007  0.417527873306344E+007 -0.361434857901110E+007  0.781728158826627E+006 -0.149167432628585E+000  0.719046995149644E+000 -0.678763947045852E+000 -0.456001229313647E+000  0.559070079241029E+000  0.692461930622812E+000  0.877389284130732E+000  0.412809962650730E+000  0.244491265342678E+000  0.100871803240997E+004  0.192181920792854E+003  0.406782637148628E+003
  0.188819386000000E+001 -0.423398263257962E+006 -0.365915159648971E+003  0.229443702385630E+007  0.430547703928095E+007 -0.360509172184780E+007  0.890108920669847E+006 -0.189473026517326E+000  0.781606448681671E+000 -0.594299025408583E+000 -0.467866303789645E+000  0.460264439490544E+000  0.754491727932567E+000  0.863250307848529E+000  0.421008319537372E+000  0.278479623814271E+000  0.100989055241919E+004  0.177981029718772E+003  0.416734233116419E+003
  0.202306485000000E+001 -0.421649121363412E+006 -0.479962236984596E+003  0.228137013532251E+007  0.408600640590879E+007 -0.358034120488818E+007  0.928126930239380E+006 -0.222176693674505E+000  0.829099707298049E+000 -0.513060612546076E+000 -0.481092875876213E+000  0.364471264579082E+000  0.797314456207386E+000  0.848049032526433E+000  0.423974495287646E+000  0.317896942068599E+000  0.101174259659804E+004  0.162819872422369E+003  0.425144925469169E+003
  0.215793584000000E+001 -0.417978687056877E+006 -0.527295942085512E+003  0.226062952189479E+007  0.369210554569817E+007 -0.354239512008381E+007  0.893210231829560E+006 -0.245914326381936E+000  0.865246427929870E+000 -0.436892164080245E+000 -0.492625860650338E+000  0.276614511184783E+000  0.825108582927433E+000  0.834772966439757E+000  0.418130399703973E+000  0.358219295048109E+000  0.101412231581067E+004  0.146966177236413E+003  0.432073432728859E+003
