 # Integral loads: N.components: 1
 #                 Ref.sys     : first_wing
 #                 Components  : first_wing
 #  t , Fx , Fy , Fz , Mx , My , Mz , ref_mat(9) , ref_off(3) 
  0.000000000000000E+000 -0.241409195556315E+006  0.228362687040353E+002  0.256178765581459E+007  0.161769055852083E+007 -0.442632695585285E+007 -0.142576619335463E+006 -0.273044761691260E-001  0.850764460371195E+000  0.524837402011746E+000 -0.473248687775525E+000 -0.473468683334752E+000  0.742874878711079E+000  0.880505619005281E+000 -0.228094802375165E+000  0.415550978857662E+000  0.100915000000000E+004 -0.183190000000000E+003  0.406180000000000E+003
  0.134870990000000E+000 -0.402420432816208E+006  0.577212247114935E+002  0.237937221132621E+007  0.178929405180980E+007 -0.379139780514201E+007 -0.167416632581616E+006 -0.732451901113939E-001  0.784420772486904E+000  0.615888946009420E+000 -0.457325579335758E+000 -0.575210326095191E+000  0.678222968675256E+000  0.886277866479108E+000 -0.231985198761714E+000  0.400867073909455E+000  0.100815056689000E+004 -0.196746292010000E+003  0.394756671670000E+003
  0.269741980000000E+000 -0.431074576355815E+006  0.114660519542530E+003  0.240315088224627E+007  0.219233754447021E+007 -0.380694504923727E+007 -0.142286997937300E+006 -0.127513606413100E+000  0.699202410703686E+000  0.703460211416167E+000 -0.436050661740489E+000 -0.676549991184949E+000  0.593413793084832E+000  0.890842354502303E+000 -0.231075957844600E+000  0.391157003172631E+000  0.100802168054000E+004 -0.208950155430000E+003  0.381834694440000E+003
  0.404612970000000E+000 -0.439373332212123E+006  0.102016631004713E+003  0.239912066713473E+007  0.256190958472171E+007 -0.379772614837666E+007 -0.940700296664928E+005 -0.187633802431076E+000  0.593227542567593E+000  0.782863103565668E+000 -0.407276473014380E+000 -0.772263397840190E+000  0.487580884454354E+000  0.893822930291130E+000 -0.227355068330439E+000  0.386510339047015E+000  0.100888435364604E+004 -0.219448288601617E+003  0.367531276890526E+003
  0.539483960000000E+000 -0.441017721260835E+006  0.121744957391242E+003  0.238772265591363E+007  0.313492803318353E+007 -0.378026450166932E+007  0.273298117531267E+005 -0.251343404027583E+000  0.465772869272897E+000  0.848458677544829E+000 -0.368888224808026E+000 -0.856534856887619E+000  0.360928686217221E+000  0.894845221728211E+000 -0.222269370777438E+000  0.387102513508232E+000  0.101081688537671E+004 -0.227893970983795E+003  0.352044482748267E+003
  0.674354950000000E+000 -0.442219158824330E+006  0.851600291561928E+002  0.238337378189456E+007  0.378596398834975E+007 -0.377508754486233E+007  0.215657714947652E+006 -0.315352477891797E+000  0.320072623644822E+000  0.893367970256727E+000 -0.326430025421467E+000 -0.920542434717782E+000  0.214581137072199E+000  0.891064673966399E+000 -0.223953435957070E+000  0.394776652465895E+000  0.101385484196475E+004 -0.233950629480929E+003  0.335655319345173E+003
  0.809225940000000E+000 -0.443437381718113E+006 -0.791871632748807E+002  0.238006248832527E+007  0.407000289832796E+007 -0.377231681378910E+007  0.333245093968515E+006 -0.375219836993305E+000  0.163681937742912E+000  0.912369605578487E+000 -0.279160532843381E+000 -0.958541776297843E+000  0.571582014620498E-001  0.883900147544573E+000 -0.233250694207975E+000  0.405357426010897E+000  0.101796331129538E+004 -0.237373528516209E+003  0.318727775345092E+003
  0.944096930000000E+000 -0.445633547342597E+006 -0.183652343452290E+003  0.238374153889468E+007  0.414687289903456E+007 -0.378290534220609E+007  0.364206949680612E+006 -0.429944563656283E+000  0.591127855777035E-003  0.902855095101239E+000 -0.221000003281779E+000 -0.969647599120313E+000 -0.104606558444801E+000  0.875389439467864E+000 -0.244506000106480E+000  0.417025353162212E+000  0.102307069357131E+004 -0.238014954752441E+003  0.301697633962699E+003
  0.107896792000000E+001 -0.450087014893872E+006 -0.180089138471085E+003  0.239826197345326E+007  0.432711606049628E+007 -0.381119024154182E+007  0.400535810622407E+006 -0.477978423002992E+000 -0.163915742131664E+000  0.862941629906101E+000 -0.152620458494695E+000 -0.951991437405764E+000 -0.265366348196182E+000  0.865010764552929E+000 -0.258541935839302E+000  0.430014470244926E+000  0.102908111495872E+004 -0.235804246217826E+003  0.285038654490358E+003
  0.121383891000000E+001 -0.457796286304334E+006  0.252015071056068E+002  0.242396228061256E+007  0.549455785223245E+007 -0.384693802106879E+007  0.769595245304374E+006 -0.517168484023700E+000 -0.323659660986833E+000  0.792326437134667E+000 -0.774936972189660E-001 -0.904230971540533E+000 -0.419953660536729E+000  0.852368163427027E+000 -0.278587102997880E+000  0.442558176988388E+000  0.103586965543333E+004 -0.230752599519108E+003  0.269256504620333E+003
